game,turn,on_turn_player,nested_pick_orig,flat_pick,nested_top_pick,nested_top_wpct,nested_wpct_for_flat_pick,cgp
15,3,1,D8 (C)OVET,10J HOVE,10J HOVE,0.232357,0.232357,15/15/15/15/15/15/5DARG6/3CUIsINE5/7DUD5/15/15/15/15/15/15 EEHOTVV/AEGLORR 15/96 0
15,4,0,11C R(E)ORG,E11 LOR,E11 EORL,0.797923,0.787949,15/15/15/15/15/15/5DARG6/3CUIsINE5/3O3DUD5/3V11/3E11/3T11/15/15/15 AEGLORR/AEHITVW 96/35 0
15,7,1,13H VIRE(N)T,13H INVE(N)T,13H VIRE(N)T,0.243404,0.233208,15/15/15/15/15/15/5DARG6/3CUIsINE1G3/3O3DUD1O3/3V5HAW3/2REORG4L3/3T7A3/11N3/15/15 EINRTTV/BEEMOTT 67/132 0
15,8,0,M9 EMO,M10 MOT(T)E,M9 EMO,0.797216,0.781565,15/15/15/15/15/15/5DARG6/3CUIsINE1G3/3O3DUD1O3/3V5HAW3/2REORG4L3/3T7A3/7VIRENT2/15/15 BEEMOTT/AEJLNNT 132/87 0
15,9,1,H13 (V)AN,G3 JNAN(As),G3 JNAN(As),0.209198,0.209198,15/15/15/15/15/15/5DARG6/3CUIsINE1G3/3O3DUD1OE2/3V5HAWM2/2REORG4LO2/3T7A3/7VIRENT2/15/15 AEJLNNT/ABEKTTY 87/155 0
15,12,0,15G E(N)TITLE,10B TA(V),15G E(N)TITLE,0.858499,0.835343,15/15/15/15/15/15/5DARG6/3CUIsINE1G3/2JOT2DUD1OE2/3V1B3HAWM2/2REORG4LO2/3T1A5A3/5K1VIRENT2/5Y1A7/7N7 AEEILTT/CEILNSY 183/125 0
16,0,0,8E MIGG,8G MIGG,8G MIGG,0.543511,0.543511,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 GGIMPRT/ALORTUV 0/0 0
16,3,1,10I EYeBARS,L9 RoSEBAY,L9 RoSEBAY,0.655857,0.655857,15/15/15/5O9/5U9/5T9/5R9/4MIGG7/5V9/5A9/3POLESTAR4/15/15/15/15 ABERSY?/DEINQRT 65/106 0
16,5,1,H11 (S)KEAN,H11 (S)KENE,H11 (S)KEEN,0.455312,0.448640,15/15/15/5O9/4QUIRTED4/5T9/5R9/4MIGG7/5V9/5A2EYeBARS/3POLESTAR4/15/15/15/15 AEEEKNU/AELNNOS 152/174 0
16,6,0,D3 ONS,12B LOAN,D1 NEONS,0.490982,0.403855,15/15/15/5O9/4QUIRTED4/5T9/5R9/4MIGG7/5V9/5A2EYeBARS/3POLESTAR4/7K7/7E7/7A7/7N7 AELNNOS/EEIORUV 174/194 0
