game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
4,4,0,10G VEG,10C VOULGE,0.351059,0.344967,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/11PEEL/15/15/15/15/15 EGLOOUV/AAEIMNR 72/99 0
4,5,1,O10 (L)AMINA,O10 (L)AMINA,0.573364,0.573364,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEG2PEEL/15/15/15/15/15 AAEIMNR/HILOORU 99/96 0
4,6,0,N12 HOI,N12 HOI,0.326875,0.326875,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEG2PEEL/14A/14M/14I/14N/14A HILOORU/EEIORTV 96/132 0
4,7,1,12L VE(HM),12L VE(HM),0.588017,0.588017,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEG2PEEL/14A/13HM/13OI/13IN/14A EEIORTV/LOORTUU 132/121 0
4,8,0,J9 (R)OUL,J9 (R)OUL,0.311838,0.311838,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEG2PEEL/14A/11VEHM/13OI/13IN/14A LOORTUU/CEIORST 121/156 0
4,9,1,12C COISTRE(L),12C COISTRE(L),0.814940,0.814940,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEGO1PEEL/9U4A/9L1VEHM/13OI/13IN/14A CEIORST/MOQRTUX 156/137 0
4,10,0,E10 QU(I)M,11D OX,0.142095,0.137873,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEGO1PEEL/9U4A/2COISTREL1VEHM/13OI/13IN/14A MOQRTUX/DDINNOR 137/228 0
4,11,1,H12 (R)IND,H12 (R)IND,0.736006,0.736006,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/4Q1VEGO1PEEL/4U4U4A/2COISTREL1VEHM/4M8OI/13IN/14A DDINNOR/NORTXY? 228/167 0
4,12,0,14G O(N)YX,14G O(N)YX,0.264732,0.264732,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/4Q1VEGO1PEEL/4U4U4A/2COISTREL1VEHM/4M2I5OI/7N5IN/7D6A NORTXY?/AADNNOR 167/243 0
4,13,1,15B DONNAR(D),C9 NAR(C)O,0.729919,0.695378,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/4Q1VEGO1PEEL/4U4U4A/2COISTREL1VEHM/4M2I5OI/6ONYX3IN/7D6A AADNNOR/BEFNRT? 243/197 0
5,0,0,8D WIVED,8D WIVED,0.606097,0.606097,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 DEISTVW/EINNORY 0/0 0
5,1,1,7G YON,7G YON,0.404152,0.404152,15/15/15/15/15/15/15/3WIVED7/15/15/15/15/15/15/15 EINNORY/ABNNSST 0/32 0
5,2,0,6G SNAB,6G SNAB,0.638988,0.638988,15/15/15/15/15/15/6YON6/3WIVED7/15/15/15/15/15/15/15 ABNNSST/AAEINPR 32/23 0
5,3,1,9G NIPA,9G NIPA,0.395574,0.395574,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/15/15/15/15/15/15/15 AAEINPR/IIJLNST 23/56 0
