game,turn,on_turn_player,inner_calls,inner_rollouts,inner_agree_count,inner_agree_rate,inner_loss_mean,inner_loss_stddev,inner_loss_max,inner_early_stops,inner_early_stop_rate,nested_pick,rack,cgp
0,18,0,9131,1987279,734,0.080385,0.026103,0.022276,0.306802,2648,0.290001,2J AG,ADEGOU?,5DRUID4N/1TROOZ8A/2EURO2WHIfFLE/3T2ABA5V/2ANNOYING4I/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3IWI1/7GAVEL3/2CLIQUES2L3/8K2E3/8SPETCH1/15/15 ADEGOU?/EFIIMOS 509/313 0
0,19,1,2961,711023,357,0.120567,0.019992,0.020470,0.118874,239,0.080716,11K F(L)IM,EFIIMOS,5DRUID4N/1TROOZ3AG3A/2EURO2WHIfFLE/3T2ABA5V/2ANNOYING4I/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3IWI1/7GAVEL3/2CLIQUES2L3/8K2E3/8SPETCH1/15/15 EFIIMOS/BDEORU? 313/526 0
0,20,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,7M DsO,BDEORU?,5DRUID4N/1TROOZ3AG3A/2EURO2WHIfFLE/3T2ABA5V/2ANNOYING4I/3A1YEN7/3M11/2TERRETS2JAAP/3D1EXO3IWI1/7GAVEL3/2CLIQUES1FLIM1/8K2E3/8SPETCH1/15/15 BDEORU?/EINOOST 526/341 0
0,21,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,C8 (T)IN(C)TS,EINOOST,5DRUID4N/1TROOZ3AG3A/2EURO2WHIfFLE/3T2ABA5V/2ANNOYING4I/3A1YEN7/3M8DsO/2TERRETS2JAAP/3D1EXO3IWI1/7GAVEL3/2CLIQUES1FLIM1/8K2E3/8SPETCH1/15/15 EINOOST/BERU 341/546 0
0,22,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,13C (S)UBER,BERU,5DRUID4N/1TROOZ3AG3A/2EURO2WHIfFLE/3T2ABA5V/2ANNOYING4I/3A1YEN7/3M8DsO/2TERRETS2JAAP/2ID1EXO3IWI1/2N4GAVEL3/2CLIQUES1FLIM1/2T5K2E3/2S5SPETCH1/15/15 BERU/EOO 546/363 0
1,0,0,17144,3755711,3060,0.178488,0.068040,0.068428,0.598465,5989,0.349335,8E FIQH,DEFHINQ,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 DEFHINQ/CEIIIVW 0/0 0
1,1,1,17492,3846149,3337,0.190773,0.056835,0.059373,0.513964,6050,0.345872,9H IWI,CEIIIVW,15/15/15/15/15/15/15/4FIQH7/15/15/15/15/15/15/15 CEIIIVW/DEINORZ 0/38 0
1,2,0,14596,3195366,3606,0.247054,0.049207,0.059723,0.576708,5063,0.346876,J5 IRON(I)ZED,DEINORZ,15/15/15/15/15/15/15/4FIQH7/7IWI5/15/15/15/15/15/15 DEINORZ/ACEEIPV 38/15 0
1,3,1,14028,3112664,3602,0.256772,0.029225,0.043318,0.683138,4389,0.312874,10H CE(Z)VE,ACEEIPV,15/15/15/15/9I5/9R5/9O5/4FIQH1N5/7IWI5/9Z5/9E5/9D5/15/15/15 ACEEIPV/ADEEEIT 15/128 0
1,4,0,13336,2965667,3530,0.264697,0.045198,0.057941,0.643755,4152,0.311338,K3 EIDE,ADEEEIT,15/15/15/15/9I5/9R5/9O5/4FIQH1N5/7IWI5/7CEZVE3/9E5/9D5/15/15/15 ADEEEIT/ACEIJPY 128/47 0
